Model;ConquerFS;ConquerRT;DIMACSFS;DIMACSRT;FamaFS;FamaRT;guidslFS;guidslRT;modelFS;modelRT;velvetFS;velvetRT;UVLFS;UVLRT;FeatureIDEFS;FeatureIDERT;Features;Constraints
fm_GPLTiny;4.11;19;0.2;1;0.15;1;0.16;0;0.5;1;0.24;7;0.2;1;0.47;3;7;1
fm_eShop_SPLOT;5.78;3;0.33;1;0.23;1;0.39;0;0.88;2;0.54;1;0.4;2;1.38;3;10;4
fm_MobilePhone;6.27;4;0.29;2;0.19;1;0.2;5;0.73;1;0.33;1;0.24;34;0.71;3;10;2
ovm_MPPL;6.63;227;0.28;1;0.22;1;0.29;239;0.64;6;0.49;5;0.26;36;1.34;5;10;1
dm_VaMoS;9.63;7;0.34;1;0.22;1;0.32;0;0.88;2;0.36;0;0.25;154;0.7;4;11;1
dm_eShop;13.17;245;0.4;1;0.28;1;0.42;0;1.3;3;0.5;1;0.33;38;0.96;4;13;4
fm_OnlineShop;9.75;5;0.42;1;0.29;1;0.41;1;01.05;2;0.56;1;0.46;2;1.42;4;14;3
ovm_OnlineShop;9.76;5;0.43;1;0.32;1;0.41;2;1;3;0.57;1;0.46;2;1.94;3;14;4
fm_FeatureIDE;19.18;46;0.54;1;0.34;1;0.45;1;1.24;2;0.62;4;0.45;1;1.23;5;19;4
fm_WikiMatrix;19.39 ;235;0.91;2;0.46;1;0.87;1;2.34;62;1.15;1;0.8;9;3.17;6;21;14
fm_FameDB2;14.25;16;0.65;1;0.29;1;0.3;1;1.42;4;0.77;1;0.55;4;1.05;4;22;0
fm_APL;13.3;12;0.57;1;0.29;1;0.38;2;1.18;5;0.72;1;0.62;2;1.27;3;23;2
fm_SafeBali;14.69;9;0.75;1;0.28;1;0.28;1;1.47;3;0.77;1;0.6;2;1.22;3;24;0
fm_GPLSmall;23.53;256;0.89;339;0.36;4;0.84;6;2.13;54;1.19;17;0.88;3334;2.5;10;25;7
dm_HICSSDM;28.35;51;0.87;1;0.48;1;0.68;1;2.6;2;0.91;1;0.55;2;1.62;4;28;0
fm_TightVNC;38.14;258;0.94;1;0.63;1;0.9;1;2.29;49;1.23;2;01.01;7;1.99;42;28;3
ovm_RFW;39.84;256;1.66;2;1.75;2;1.79;1;02.05;8;2.58;2;1.8;6;5.25;5;37;11
fm_GPLMedium;35.52;17;1.67;1;0.64;1;1.64;1;4.68;4;2.19;2;1.65;81;4.29;5;38;15
fm_ebay;29.79;5;1.26;1;0.59;1;0.77;2;2.79;3;1.41;1;0.79;1;2.37;4;40;6
fm_VMTools;28.36;7;1.57;1;1.19;1;1.54;2;4.29;3;1.77;2;1.48;3;2.5;4;42;3
fm_DellLaptopNotebook;64.9;273;3.38;4;4.29;1;4.81;2;10.48;9;5.9;2;4;36;16.07;19;47;105
dm_DOPLERTools;49.03 ;235;1.97;2;1.63;1;1.75;1;4.72;6;2.34;1;1.74;2;4.17;6;50;15
fm_Windows_7;67.93;7;3.23;2;1.98;1;2.4;2;9.45;4;3.29;1;2.35;3;3.3;3;70;0
fm_berkeleydb;65.73;27;3.18;2;2.32;2;3.62;1;8.42;7;4.87;1;4.33;5;8.14;5;76;20
fm_Windows_8;73.83;13;3.84;2;2.72;1;3.27;1;11.25;6;3.57;2;2.71;3;3.92;4;78;0
fm_kconfig01_axTLS;61.63;50;4.9;2;2.82;2;5.57;2;14.88;38;6.34;1;5.1;3;12.14;6;96;14
dm_ASEJ1;1561.91;427;57.69;44;3.93;2;4.88;2;203.62;6007;6.27;2;4;7;14;11;109;96
dm_DissModel;1578.38;449;57.8;8;1.75;1;2.26;1;221.38;6194;3.42;1;2.3;3;4.52;15;116;0
fm_BankingSoftware;130.22;52;6.82;5;3.55;1;3.97;2;15.16;7;6.25;1;4.46;3;8.18;5;176;4
fm_Ubuntu_14_10;233.34;93;13.3;3;7.61;3;10.39;2;35.94;16;13.51;2;10.72;48;21.96;8;263;72
fm_kconfig02_uClibc;396.89;172;24.48;6;8.11;4;20.73;2;74.94;90;23.03;2;18.98;41;59.79;65;313;56
fm_eShop_FeatureIDE;266.17;70;14.03;3;10.13;1;12.58;1;36.17;19;17.49;3;15.36;13;22.06;9;326;21
fm_BigDataSystem;571.75;219;25.88;5;11.46;1;13.08;2;57.7;53;25.07;3;21.26;18;27.63;40;628;0
fm_busybox;379.14;746;34.36;5;46.4;105;55.65;5;61.43;120;66.94;5;52.0;34;124.92;52;631;681
fm_financialservices01;2066.41 ;4175;129.06;78;68.93;38;218.44;59;695.33;684;282.18;42;206.78;98;370.51;112;771;1080
fm_kconfig03_embtoolkit;;;;;;;689.05;173;;;661.22;73;621.07;444;7016.08;1506;1179;323
fm_cdl03_sam7ex256;1031.92;1587;88.43;14;91.05;14;148.32;25;262.02;224;156.88;25;135.53;88;265.64;84;1345;935
fm_cdl02_phycore229;1051.91;1687;90.35;19;93.19;14;151.87;9;268.22;200;160.36;10;138.97;125;269.68;70;1373;932
fm_cdl01_ea2468;1082.05;1667;93.85;15;95.48;14;158.76;45;280.48;204;166.8;10;144.68;131;280.29;57;1408;956
fm_automotive01;3417.91;3889;219.81;153;241.08;86;256.51;74;738.87;1684;311.6;52;260.08;545;470.52;278;2513;2833
fm_linux;;;1705.71;6296933;125.55;6301638;613.69;122;5561.8;18454317;657.18;95;546.83;1104;2357.91;820;6467;3545
fm_automotive02;122366.24;3889;6055.71;875;566.69;39;655.96;137;24016.29;434818;927.26;57;785.56;657;1145.18;383;18616;1369
