VariationPointFeature, Handler, VariantIdentifier, VariantValue
ValueEncodingObject, plot_type, ScatterPlot, only marks
ValueEncodingObject, plot_type, LineGraph, smooth
ValueEncodingObject, plot_type, VerticalBars, ybar
ValueEncodingObject, plot_type, HorizontalBars, xbar
XLogarithmic, x_log_scale, -, -
YLogarithmic, y_log_scale, -, -
LegendPos, legend_post, SouthWest, south west
LegendPos, legend_post, SouthEast, south east
LegendPos, legend_post, NorthWest, north west
LegendPos, legend_post, NorthEast, north east
LegendPos, legend_post, OuterNorthEast, outer north east
Shape, plot.mark, CircleMark, o
Shape, plot.mark, SquareMark, square
Shape, plot.mark, TriangleMark, triangle
Shape, plot.mark, PlusMark, +
Shape, plot.mark, CrossMark, x
Color, plot.color, Gray, gray
Color, plot.color, Blue, blue
Color, plot.color, Orange, orange
Color, plot.color, Green, green
Color, plot.color, Pink, pink
Color, plot.color, Red, red
Color, plot.color, Brown, brown
Color, plot.color, Purple, purple
Color, plot.color, yellow, yellow
VisualComponents, title, VisualComponents.title, -
XAxis, xaxis_label, XAxis.label, -
YAxis, yaxis_label, YAxis.label, -
DataSet, plot.name, DataSet.name, -
DataSet, plot.csv_file, DataSet.csvfile, -
DataSet, plot.separator, DataSet.separator, -
DataSet, plot.xaxis_column, DataSet.XAxisColumn, -
DataSet, plot.yaxis_column, DataSet.YAxisColumn, -
